Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-5.00000	7.23089	-0.61922	1.97398	-4.38078	7.49549
0.32069	-9.80000	13.12890	-0.67639	2.04179	-9.12361	13.28672
0.34138	-1.29167	2.14273	0.40762	0.64786	-1.69928	2.23853
0.36207	-0.96429	1.82408	0.51222	0.51046	-1.47650	1.89416
0.38276	0.00000	0.85391	0.33490	0.65705	-0.33490	1.07744
0.40345	-0.66667	1.37051	0.38532	0.56882	-1.05198	1.48387
0.42414	-0.75000	1.26943	0.48058	0.46621	-1.23058	1.35233
0.44483	0.00000	0.58333	0.67490	0.27564	-0.67490	0.64518
0.46552	-0.09804	0.62569	0.63913	0.29559	-0.73717	0.69200
0.48621	-0.15294	0.63326	0.48760	0.39998	-0.64054	0.74900
0.50690	-0.07510	0.54365	0.38105	0.44510	-0.45615	0.70262
0.52759	-0.05091	0.52393	0.29866	0.48942	-0.34957	0.71696
0.54828	0.16954	0.40298	0.34707	0.44319	-0.17753	0.59900
0.56897	0.12069	0.42371	0.29203	0.47037	-0.17135	0.63307
0.58966	-0.24667	0.59477	0.19527	0.53125	-0.44194	0.79748
0.61034	-0.32923	0.61511	0.10158	0.57854	-0.43081	0.84443
0.63103	-0.37363	0.61414	0.53498	0.35905	-0.90861	0.71139
0.65172	-0.71429	0.73639	0.61500	0.28771	-1.32929	0.79060
0.67241	-0.10526	0.44329	0.59760	0.28360	-0.70286	0.52624
0.69310	-0.16667	0.45832	0.49131	0.35050	-0.65798	0.57698
0.71379	-0.22051	0.45162	-0.38049	1.09896	0.15998	1.18814
0.73448	-0.34783	0.50112	-0.62894	1.31752	0.28112	1.40961
0.75517	-0.37240	0.50348	-0.66397	1.31800	0.29158	1.41089
0.77586	-0.17857	0.41361	-0.68001	1.32116	0.50143	1.38439
0.79655	-0.56222	0.54369	-1.16317	1.71655	0.60095	1.80060
0.81724	-0.59505	0.52234	-0.94347	1.52409	0.34843	1.61111
0.83793	-0.51975	0.46973	-1.25168	1.69119	0.73193	1.75521
0.85862	-0.63590	0.49243	-1.23845	1.61325	0.60256	1.68673
0.87931	-0.64835	0.48992	-2.40157	2.47476	1.75322	2.52278
0.90000	-0.78616	0.51721	-1.98898	1.94689	1.20282	2.01442
