Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.04377	0.04157	-0.04408	0.05215	0.08785	0.06669
225.86207	0.04622	0.04134	-0.04663	0.05209	0.09285	0.06650
226.72414	0.04268	0.03950	-0.02457	0.04867	0.06725	0.06268
227.58621	0.04402	0.03923	-0.02598	0.04869	0.07000	0.06252
228.44828	0.04011	0.03921	-0.02902	0.04879	0.06913	0.06260
229.31034	0.03549	0.03922	-0.03383	0.04872	0.06932	0.06254
230.17241	0.03628	0.03904	-0.02828	0.04863	0.06456	0.06236
231.03448	0.02126	0.04005	-0.00885	0.04927	0.03011	0.06349
231.89655	0.02490	0.03973	-0.00867	0.04908	0.03357	0.06314
232.75862	0.02611	0.03953	0.00007	0.04872	0.02604	0.06274
233.62069	0.03846	0.03664	-0.00137	0.04571	0.03983	0.05858
234.48276	0.03935	0.03642	-0.00166	0.04563	0.04101	0.05838
235.34483	0.03906	0.03626	-0.00714	0.04589	0.04620	0.05849
236.20690	0.04057	0.03610	-0.00097	0.04563	0.04154	0.05819
237.06897	0.03564	0.03617	0.00411	0.04535	0.03153	0.05801
237.93103	0.03610	0.03607	-0.00410	0.04581	0.04020	0.05830
238.79310	0.03221	0.03608	-0.00316	0.04566	0.03537	0.05819
239.65517	0.02442	0.03620	0.00249	0.04564	0.02193	0.05825
240.51724	0.01895	0.03485	0.01977	0.04327	-0.00082	0.05556
241.37931	0.02071	0.03459	0.02146	0.04306	-0.00075	0.05523
242.24138	0.01361	0.03615	0.01602	0.04386	-0.00241	0.05683
243.10345	0.00222	0.03631	0.00669	0.04401	-0.00447	0.05706
243.96552	0.01012	0.03585	-0.00231	0.04444	0.01243	0.05710
244.82759	0.00496	0.03588	-0.00579	0.04440	0.01075	0.05709
245.68966	-0.00224	0.03599	0.00263	0.04400	-0.00487	0.05685
246.55172	-0.00536	0.03598	-0.00399	0.04438	-0.00137	0.05713
247.41379	-0.00715	0.03429	-0.01851	0.04282	0.01136	0.05486
248.27586	-0.00367	0.03406	-0.02739	0.04324	0.02371	0.05505
249.13793	-0.00073	0.03388	-0.03502	0.04379	0.03429	0.05537
250.00000	0.00418	0.03354	-0.02106	0.04377	0.02524	0.05514
