Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.00815	0.01795	0.01460	0.02778	-0.02275	0.03307
225.86207	-0.00786	0.01793	0.01527	0.02779	-0.02313	0.03307
226.72414	-0.01207	0.01718	0.01075	0.02661	-0.02282	0.03167
227.58621	-0.01221	0.01716	0.01179	0.02664	-0.02400	0.03169
228.44828	-0.01087	0.01713	0.01282	0.02666	-0.02370	0.03169
229.31034	-0.01266	0.01715	0.01057	0.02684	-0.02323	0.03185
230.17241	-0.01496	0.01718	0.00930	0.02692	-0.02427	0.03193
231.03448	-0.02055	0.01744	0.01300	0.02761	-0.03356	0.03266
231.89655	-0.01874	0.01740	0.01310	0.02764	-0.03184	0.03267
232.75862	-0.01582	0.01735	0.01273	0.02772	-0.02855	0.03270
233.62069	-0.02070	0.01640	0.01467	0.02602	-0.03537	0.03076
234.48276	-0.02074	0.01640	0.01390	0.02608	-0.03463	0.03081
235.34483	-0.01860	0.01637	0.01314	0.02616	-0.03174	0.03086
236.20690	-0.01950	0.01638	0.01045	0.02629	-0.02995	0.03098
237.06897	-0.01917	0.01637	0.01013	0.02639	-0.02930	0.03105
237.93103	-0.02300	0.01644	0.00737	0.02652	-0.03037	0.03120
238.79310	-0.02273	0.01644	0.00641	0.02660	-0.02914	0.03127
239.65517	-0.02331	0.01645	0.00760	0.02664	-0.03091	0.03131
240.51724	-0.02928	0.01592	0.00504	0.02566	-0.03432	0.03020
241.37931	-0.02918	0.01593	0.00498	0.02581	-0.03416	0.03033
242.24138	-0.02832	0.01657	0.00497	0.02710	-0.03329	0.03176
243.10345	-0.03050	0.01663	0.00946	0.02712	-0.03996	0.03182
243.96552	-0.02892	0.01664	0.00803	0.02732	-0.03695	0.03198
244.82759	-0.02913	0.01666	0.00859	0.02743	-0.03772	0.03209
245.68966	-0.02511	0.01663	0.00907	0.02755	-0.03418	0.03218
246.55172	-0.02241	0.01661	0.00628	0.02777	-0.02869	0.03236
247.41379	-0.02862	0.01596	0.00134	0.02659	-0.02996	0.03101
248.27586	-0.03105	0.01603	0.00143	0.02671	-0.03248	0.03115
249.13793	-0.02369	0.01595	0.00289	0.02681	-0.02659	0.03120
250.00000	-0.02890	0.01612	-0.00426	0.02732	-0.02464	0.03172
