Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.23078	0.09104	-0.11391	0.07227	-0.11687	0.11624
0.32069	-0.18563	0.08554	-0.13369	0.07524	-0.05193	0.11392
0.34138	-0.20782	0.08518	-0.10774	0.07518	-0.10008	0.11361
0.36207	-0.18595	0.08210	-0.12220	0.07653	-0.06375	0.11223
0.38276	-0.14150	0.07660	-0.12922	0.07466	-0.01228	0.10696
0.40345	-0.09880	0.07181	-0.12766	0.07317	0.02885	0.10252
0.42414	-0.08873	0.06943	-0.13777	0.07278	0.04903	0.10059
0.44483	-0.11992	0.06947	-0.11425	0.06976	-0.00567	0.09845
0.46552	-0.13733	0.06860	-0.12762	0.06785	-0.00971	0.09649
0.48621	-0.08644	0.06403	-0.17278	0.06867	0.08634	0.09390
0.50690	-0.08301	0.06249	-0.13934	0.06641	0.05633	0.09119
0.52759	-0.10073	0.06191	-0.13949	0.06767	0.03877	0.09172
0.54828	-0.11871	0.06206	-0.12617	0.06722	0.00746	0.09148
0.56897	-0.14630	0.06299	-0.13961	0.06650	-0.00670	0.09160
0.58966	-0.12449	0.06101	-0.14459	0.06605	0.02011	0.08991
0.61034	-0.10511	0.05867	-0.12963	0.06329	0.02452	0.08630
0.63103	-0.10135	0.05777	-0.13563	0.06319	0.03427	0.08561
0.65172	-0.16213	0.06075	-0.09464	0.06104	-0.06748	0.08612
0.67241	-0.09412	0.05661	-0.07850	0.06009	-0.01562	0.08256
0.69310	-0.09329	0.05573	-0.04317	0.05653	-0.05011	0.07938
0.71379	-0.07494	0.05451	-0.06070	0.05726	-0.01424	0.07906
0.73448	-0.05776	0.05353	-0.06078	0.05776	0.00302	0.07875
0.75517	-0.07829	0.05433	-0.04624	0.05676	-0.03206	0.07857
0.77586	-0.06135	0.05316	-0.04536	0.05812	-0.01599	0.07877
0.79655	-0.01619	0.04986	-0.07654	0.05726	0.06035	0.07592
0.81724	-0.01170	0.04807	-0.04160	0.05430	0.02990	0.07252
0.83793	-0.02165	0.04716	-0.04820	0.05234	0.02655	0.07046
0.85862	0.00676	0.04483	-0.03651	0.05102	0.04327	0.06792
0.87931	-0.01097	0.04487	-0.02719	0.05109	0.01622	0.06800
0.90000	-0.01047	0.04359	-0.05291	0.05040	0.04244	0.06664
