Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.02519	0.04663	-0.05268	0.04457	0.02749	0.06450
0.32069	-0.01116	0.04528	-0.06351	0.04526	0.05235	0.06402
0.34138	-0.00332	0.04257	-0.04500	0.04309	0.04168	0.06057
0.36207	0.00961	0.04177	0.00152	0.04172	0.00809	0.05904
0.38276	0.02775	0.04013	0.00032	0.04060	0.02744	0.05708
0.40345	0.03326	0.03950	-0.00322	0.04042	0.03648	0.05652
0.42414	0.03848	0.03862	-0.00346	0.03997	0.04194	0.05557
0.44483	0.05695	0.03741	0.01945	0.03714	0.03750	0.05272
0.46552	0.05909	0.03614	0.02503	0.03572	0.03407	0.05081
0.48621	0.03799	0.03609	0.02256	0.03512	0.01543	0.05036
0.50690	0.02006	0.03400	0.02376	0.03282	-0.00371	0.04726
0.52759	0.02235	0.03317	0.01972	0.03216	0.00263	0.04620
0.54828	0.00773	0.03320	0.03144	0.03206	-0.02371	0.04615
0.56897	0.00363	0.03313	0.01950	0.03308	-0.01587	0.04681
0.58966	0.02237	0.03236	0.02011	0.03318	0.00227	0.04635
0.61034	0.02517	0.03168	0.01569	0.03223	0.00948	0.04519
0.63103	0.00940	0.03213	-0.00172	0.03313	0.01112	0.04616
0.65172	-0.00218	0.03250	0.00439	0.03342	-0.00657	0.04662
0.67241	-0.02169	0.03194	0.00028	0.03269	-0.02198	0.04570
0.69310	-0.02250	0.03173	0.00080	0.03322	-0.02330	0.04594
0.71379	-0.01631	0.03289	-0.00225	0.03469	-0.01406	0.04780
0.73448	-0.01485	0.03316	-0.01223	0.03593	-0.00262	0.04890
0.75517	-0.01074	0.03292	-0.00857	0.03591	-0.00218	0.04871
0.77586	-0.00537	0.03304	0.00373	0.03701	-0.00909	0.04961
0.79655	-0.02377	0.03351	0.01580	0.03689	-0.03957	0.04984
0.81724	-0.02117	0.03287	0.00728	0.03766	-0.02845	0.04998
0.83793	-0.02194	0.03054	0.01382	0.03422	-0.03576	0.04587
0.85862	-0.02170	0.03018	0.02901	0.03311	-0.05071	0.04480
0.87931	-0.02640	0.02994	0.03097	0.03275	-0.05737	0.04438
0.90000	-0.03127	0.02931	0.01732	0.03236	-0.04859	0.04366
