Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.13462	0.12172	-0.06721	0.09386	-0.06740	0.15371
0.32069	-0.13457	0.11891	-0.10156	0.09831	-0.03301	0.15429
0.34138	-0.02263	0.09896	-0.15937	0.10335	0.13674	0.14309
0.36207	-0.08426	0.10289	-0.11818	0.09913	0.03393	0.14288
0.38276	-0.06057	0.09811	-0.09350	0.09402	0.03293	0.13589
0.40345	-0.01134	0.09124	-0.07186	0.09017	0.06052	0.12828
0.42414	-0.04017	0.09102	-0.02302	0.08717	-0.01714	0.12603
0.44483	-0.07625	0.09428	-0.02271	0.09584	-0.05354	0.13444
0.46552	-0.03519	0.08782	-0.03442	0.09479	-0.00077	0.12922
0.48621	-0.00861	0.08333	-0.06594	0.09496	0.05733	0.12634
0.50690	-0.01703	0.07726	-0.08161	0.08851	0.06458	0.11748
0.52759	-0.00766	0.07441	-0.06934	0.08737	0.06168	0.11476
0.54828	-0.03604	0.07505	-0.06257	0.08674	0.02653	0.11470
0.56897	-0.01410	0.07248	-0.03974	0.08357	0.02565	0.11062
0.58966	0.01199	0.06961	-0.05182	0.08518	0.06382	0.11001
0.61034	-0.01470	0.07003	-0.02320	0.08149	0.00850	0.10744
0.63103	0.01036	0.06751	-0.00863	0.07996	0.01899	0.10464
0.65172	0.01905	0.06611	0.00294	0.08009	0.01611	0.10385
0.67241	0.02179	0.06311	-0.05650	0.08143	0.07830	0.10302
0.69310	0.01929	0.06244	-0.05575	0.07732	0.07504	0.09938
0.71379	-0.04770	0.06946	-0.02280	0.07694	-0.02489	0.10366
0.73448	-0.06619	0.07067	-0.01409	0.07791	-0.05209	0.10518
0.75517	-0.03167	0.06773	0.03349	0.07454	-0.06516	0.10072
0.77586	0.00539	0.06474	0.04620	0.07454	-0.04081	0.09873
0.79655	-0.00167	0.06440	0.02179	0.07238	-0.02346	0.09688
0.81724	0.05597	0.05848	0.09275	0.06510	-0.03677	0.08751
0.83793	0.05760	0.05410	0.09955	0.05943	-0.04195	0.08037
0.85862	0.07233	0.05225	0.09597	0.05879	-0.02363	0.07865
0.87931	0.07242	0.05126	0.08848	0.06006	-0.01606	0.07896
0.90000	0.06753	0.05019	0.04526	0.06068	0.02227	0.07874
