Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
225.86207	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
226.72414	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
227.58621	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
228.44828	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
229.31034	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
230.17241	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
231.03448	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
231.89655	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
232.75862	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
233.62069	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
234.48276	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
235.34483	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
236.20690	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
237.06897	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
237.93103	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
238.79310	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
239.65517	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
240.51724	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
241.37931	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
242.24138	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
243.10345	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
243.96552	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
244.82759	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
245.68966	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
246.55172	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
247.41379	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
248.27586	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
249.13793	0.00000	0.01703	0.00000	0.01780	0.00000	0.02464
250.00000	0.01030	0.01567	0.00306	0.01628	0.00724	0.02259
