Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
225.86207	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
226.72414	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
227.58621	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
228.44828	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
229.31034	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
230.17241	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
231.03448	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
231.89655	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
232.75862	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
233.62069	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
234.48276	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
235.34483	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
236.20690	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
237.06897	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
237.93103	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
238.79310	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
239.65517	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
240.51724	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
241.37931	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
242.24138	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
243.10345	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
243.96552	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
244.82759	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
245.68966	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
246.55172	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
247.41379	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
248.27586	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
249.13793	0.00000	0.08569	0.00000	0.11317	0.00000	0.14195
250.00000	0.02492	0.07795	-0.08649	0.11370	0.11140	0.13786
