Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.12876	0.21128	0.05238	0.15706	-0.18114	0.26326
0.31897	-0.12876	0.21128	0.05238	0.15706	-0.18114	0.26326
0.33793	0.03641	0.17026	-0.05976	0.17464	0.09618	0.24390
0.35690	0.03641	0.17026	-0.05976	0.17464	0.09618	0.24390
0.37586	0.06449	0.15911	-0.05545	0.17778	0.11994	0.23858
0.39483	0.06449	0.15911	-0.05545	0.17778	0.11994	0.23858
0.41379	0.13053	0.14006	-0.05652	0.17404	0.18705	0.22339
0.43276	0.13053	0.14006	-0.05652	0.17404	0.18705	0.22339
0.45172	0.07816	0.14645	-0.11881	0.15874	0.19697	0.21597
0.47069	0.04010	0.14487	-0.09608	0.16104	0.13618	0.21662
0.48966	0.00909	0.14903	-0.09053	0.16609	0.09962	0.22315
0.50862	0.02733	0.13927	-0.05535	0.15747	0.08268	0.21022
0.52759	-0.02123	0.14514	-0.03093	0.15493	0.00970	0.21229
0.54655	-0.05086	0.14686	-0.02066	0.14588	-0.03020	0.20700
0.56552	-0.07035	0.14553	0.03441	0.13845	-0.10476	0.20087
0.58448	-0.09138	0.14381	0.13270	0.11531	-0.22408	0.18432
0.60345	-0.13224	0.14113	0.14122	0.10901	-0.27346	0.17833
0.62241	-0.11587	0.14222	0.16603	0.10838	-0.28190	0.17880
0.64138	-0.20744	0.14622	0.14965	0.10015	-0.35709	0.17723
0.66034	-0.26649	0.15736	0.14838	0.10427	-0.41488	0.18877
0.67931	-0.20658	0.13994	0.12532	0.10163	-0.33190	0.17296
0.69828	-0.18573	0.14080	0.11487	0.10836	-0.30060	0.17767
0.71724	-0.17580	0.13019	0.07965	0.10491	-0.25545	0.16720
0.73621	-0.16273	0.12548	0.06392	0.09751	-0.22666	0.15891
0.75517	-0.17690	0.12401	0.05333	0.09838	-0.23023	0.15829
0.77414	-0.19107	0.12228	0.04447	0.09971	-0.23554	0.15778
0.79310	-0.18281	0.11880	0.03701	0.09668	-0.21982	0.15317
0.81207	-0.13426	0.10985	-0.01309	0.09876	-0.12117	0.14772
0.83103	-0.13441	0.10664	-0.03027	0.09741	-0.10415	0.14443
0.85000	-0.12260	0.09957	-0.06175	0.09348	-0.06085	0.13658
