Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.09204	0.02086	-0.06664	0.02291	-0.02540	0.03098
0.31897	-0.09204	0.02086	-0.06664	0.02291	-0.02540	0.03098
0.33793	-0.07376	0.02104	-0.05089	0.02377	-0.02287	0.03175
0.35690	-0.07376	0.02104	-0.05089	0.02377	-0.02287	0.03175
0.37586	-0.05874	0.02109	-0.04468	0.02505	-0.01406	0.03275
0.39483	-0.05874	0.02109	-0.04468	0.02505	-0.01406	0.03275
0.41379	-0.05867	0.02135	-0.04799	0.02516	-0.01068	0.03300
0.43276	-0.05867	0.02135	-0.04799	0.02516	-0.01068	0.03300
0.45172	-0.05863	0.02143	-0.06269	0.02558	0.00406	0.03337
0.47069	-0.06213	0.02037	-0.06187	0.02413	-0.00027	0.03158
0.48966	-0.05909	0.02132	-0.05746	0.02580	-0.00163	0.03347
0.50862	-0.06066	0.02015	-0.06045	0.02397	-0.00021	0.03131
0.52759	-0.05533	0.02098	-0.05748	0.02520	0.00215	0.03279
0.54655	-0.05115	0.02066	-0.05688	0.02437	0.00574	0.03194
0.56552	-0.05056	0.02055	-0.05334	0.02423	0.00278	0.03177
0.58448	-0.05604	0.02034	-0.05039	0.02343	-0.00565	0.03102
0.60345	-0.06072	0.01914	-0.06228	0.02240	0.00156	0.02946
0.62241	-0.06459	0.02008	-0.07489	0.02324	0.01030	0.03071
0.64138	-0.05695	0.01862	-0.07146	0.02190	0.01450	0.02874
0.66034	-0.05586	0.01933	-0.07289	0.02303	0.01703	0.03006
0.67931	-0.05298	0.01797	-0.07403	0.02151	0.02106	0.02803
0.69828	-0.05240	0.01867	-0.07114	0.02235	0.01874	0.02912
0.71724	-0.04705	0.01720	-0.06668	0.02067	0.01963	0.02689
0.73621	-0.03994	0.01645	-0.06886	0.01975	0.02892	0.02570
0.75517	-0.03766	0.01632	-0.06634	0.01959	0.02868	0.02549
0.77414	-0.02844	0.01542	-0.05706	0.01847	0.02862	0.02406
0.79310	-0.02771	0.01532	-0.05569	0.01834	0.02798	0.02390
0.81207	-0.03409	0.01468	-0.04654	0.01740	0.01245	0.02276
0.83103	-0.03237	0.01456	-0.04464	0.01727	0.01227	0.02258
0.85000	-0.02773	0.01369	-0.04879	0.01648	0.02105	0.02143
