Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.00000	0.02600	0.00000	0.02505	0.00000	0.03611
0.31897	0.00000	0.02600	0.00000	0.02505	0.00000	0.03611
0.33793	0.00000	0.02681	0.00000	0.02652	0.00000	0.03771
0.35690	0.00000	0.02681	0.00000	0.02652	0.00000	0.03771
0.37586	0.00000	0.02731	0.00000	0.02665	0.00000	0.03816
0.39483	0.00000	0.02731	0.00000	0.02665	0.00000	0.03816
0.41379	0.00000	0.02772	0.00000	0.02672	0.00000	0.03850
0.43276	0.00000	0.02772	0.00000	0.02672	0.00000	0.03850
0.45172	0.00000	0.02801	0.00000	0.02774	0.00000	0.03942
0.47069	0.00000	0.02655	0.00000	0.02661	0.00000	0.03759
0.48966	0.00000	0.02799	0.00000	0.02822	0.00000	0.03975
0.50862	0.00000	0.02639	0.00000	0.02636	0.00000	0.03730
0.52759	0.00000	0.02774	0.00000	0.02791	0.00000	0.03935
0.54655	0.00000	0.02753	0.00000	0.02728	0.00000	0.03876
0.56552	0.00000	0.02743	0.00000	0.02718	0.00000	0.03862
0.58448	0.00000	0.02698	0.00000	0.02714	0.00000	0.03827
0.60345	0.00000	0.02529	0.00000	0.02560	0.00000	0.03598
0.62241	0.00000	0.02644	0.00000	0.02710	0.00000	0.03786
0.64138	0.00000	0.02468	0.00000	0.02529	0.00000	0.03533
0.66034	0.00000	0.02574	0.00000	0.02660	0.00000	0.03702
0.67931	0.00000	0.02393	0.00000	0.02472	0.00000	0.03441
0.69828	0.00000	0.02485	0.00000	0.02570	0.00000	0.03575
0.71724	0.00000	0.02306	0.00000	0.02361	0.00000	0.03300
0.73621	0.00000	0.02233	0.00000	0.02274	0.00000	0.03187
0.75517	0.00000	0.02222	0.00000	0.02263	0.00000	0.03172
0.77414	0.00000	0.02132	0.00000	0.02173	0.00000	0.03044
0.79310	0.00000	0.02121	0.00000	0.02164	0.00000	0.03030
0.81207	0.00000	0.02025	0.00000	0.02081	0.00000	0.02904
0.83103	0.00000	0.02014	0.00000	0.02073	0.00000	0.02890
0.85000	0.00777	0.01755	0.00071	0.01812	0.00706	0.02523
