Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.00000	0.05175	0.00000	0.05487	0.00000	0.07543
0.31897	0.00000	0.05175	0.00000	0.05487	0.00000	0.07543
0.33793	0.00000	0.05191	0.00000	0.05768	0.00000	0.07760
0.35690	0.00000	0.05191	0.00000	0.05768	0.00000	0.07760
0.37586	0.00000	0.05143	0.00000	0.06159	0.00000	0.08024
0.39483	0.00000	0.05143	0.00000	0.06159	0.00000	0.08024
0.41379	0.00000	0.05094	0.00000	0.06071	0.00000	0.07925
0.43276	0.00000	0.05094	0.00000	0.06071	0.00000	0.07925
0.45172	0.00000	0.04968	0.00000	0.06028	0.00000	0.07811
0.47069	0.00000	0.04690	0.00000	0.05573	0.00000	0.07284
0.48966	0.00000	0.04814	0.00000	0.05783	0.00000	0.07525
0.50862	0.00000	0.04539	0.00000	0.05456	0.00000	0.07098
0.52759	0.00000	0.04664	0.00000	0.05692	0.00000	0.07359
0.54655	0.00000	0.04559	0.00000	0.05451	0.00000	0.07107
0.56552	0.00000	0.04517	0.00000	0.05455	0.00000	0.07082
0.58448	0.00000	0.04390	0.00000	0.05343	0.00000	0.06916
0.60345	0.00000	0.04125	0.00000	0.04946	0.00000	0.06441
0.62241	0.00000	0.04259	0.00000	0.04980	0.00000	0.06553
0.64138	0.00000	0.04007	0.00000	0.04751	0.00000	0.06215
0.66034	0.00000	0.04118	0.00000	0.04895	0.00000	0.06396
0.67931	0.00000	0.03863	0.00000	0.04521	0.00000	0.05947
0.69828	0.00000	0.03992	0.00000	0.04734	0.00000	0.06193
0.71724	0.00000	0.03725	0.00000	0.04442	0.00000	0.05797
0.73621	0.00000	0.03634	0.00000	0.04286	0.00000	0.05619
0.75517	0.00000	0.03587	0.00000	0.04265	0.00000	0.05572
0.77414	0.00000	0.03459	0.00000	0.04099	0.00000	0.05364
0.79310	0.00000	0.03415	0.00000	0.04045	0.00000	0.05293
0.81207	0.00000	0.03288	0.00000	0.03906	0.00000	0.05106
0.83103	0.00000	0.03242	0.00000	0.03889	0.00000	0.05063
0.85000	0.00078	0.02846	-0.01286	0.03431	0.01364	0.04458
