tagger,region,category,signal,background,contamination_percent
ParticleNet,B,0SVJ,146.67205510217582,187224.15473747253,0.07834034839566548
ParticleNet,B,1SVJ,152.07428228110075,16401.188890457153,0.9272149921374508
ParticleNet,B,2SVJ,51.44714343547821,551.4401497840881,9.3295969572803
ParticleNet,B,3PSVJ,51.44714343547821,551.4401497840881,9.3295969572803
ParticleNet,B,Inclusive,401.640624254233,204728.22392749786,0.19618234191123027
ParticleNet,C,0SVJ,29.00500202178955,84985.162109375,0.034129489550729364
ParticleNet,C,1SVJ,62.01987648010254,14282.9697265625,0.4342225578253672
ParticleNet,C,2SVJ,33.76870059967041,903.2681427001953,3.738502334281772
ParticleNet,C,3PSVJ,3.2023439407348633,17.417667150497437,18.385607630832506
ParticleNet,C,Inclusive,127.99592304229736,100188.8176457882,0.12775469962607963
ParticleNet,D,0SVJ,46.14721727371216,505223.921875,0.009134012717064034
ParticleNet,D,1SVJ,46.89556884765625,48113.0791015625,0.09746948173627343
ParticleNet,D,2SVJ,8.415870904922485,1582.7317504882812,0.5317307182550767
ParticleNet,D,3PSVJ,8.415870904922485,1582.7317504882812,0.5317307182550767
ParticleNet,D,Inclusive,109.87452793121338,556502.4644775391,0.019743763045931312
WNAE,B,0SVJ,55.208832675833435,110934.05510997772,0.04976725372664016
WNAE,B,1SVJ,140.78816470008542,74608.22466278076,0.18870327679881027
WNAE,B,2SVJ,117.30607846828423,18353.280251979828,0.6391559266667333
WNAE,B,3PSVJ,36.11869269560168,2065.6543855667114,1.748535134820849
WNAE,B,Inclusive,349.42176853980476,205961.21441030502,0.16965416014867013
WNAE,C,0SVJ,5.0086201429367065,20630.05517578125,0.024278268285082436
WNAE,C,1SVJ,17.156374335289,21028.013671875,0.08158818328254978
WNAE,C,2SVJ,31.444028854370117,7613.0692138671875,0.4130269667993415
WNAE,C,3PSVJ,12.654181838035583,1272.657470703125,0.9943116768916879
WNAE,C,Inclusive,66.26320517063141,50543.79553222656,0.1311005722322183
WNAE,D,0SVJ,5.864989519119263,152790.9453125,0.0038385713938242395
WNAE,D,1SVJ,25.88935136795044,101302.986328125,0.02555635554917764
WNAE,D,2SVJ,15.896907091140747,24608.93115234375,0.06459812087217258
WNAE,D,3PSVJ,4.701084673404694,2780.3424072265625,0.16908293961153165
WNAE,D,Inclusive,52.35233265161514,281483.2052001953,0.018598741127159375
