tagger,region,category,signal,background,contamination_percent
ParticleNet,B,0SVJ,146.67205510217582,187221.99871063232,0.07834125055403883
ParticleNet,B,1SVJ,152.07428228110075,16405.000099658966,0.9269995815742917
ParticleNet,B,2SVJ,51.44714343547821,554.0003981590271,9.286481310562197
ParticleNet,B,3PSVJ,51.44714343547821,554.0003981590271,9.286481310562197
ParticleNet,B,Inclusive,401.640624254233,204734.99960660934,0.1961758492812516
ParticleNet,C,0SVJ,29.00500202178955,84980.369140625,0.03413141448443493
ParticleNet,C,1SVJ,62.01987648010254,14290.389892578125,0.43399709137616505
ParticleNet,C,2SVJ,33.76870059967041,905.2113342285156,3.7304769972252343
ParticleNet,C,3PSVJ,3.2023439407348633,19.000500679016113,16.853997664764105
ParticleNet,C,Inclusive,127.99592304229736,100194.97086811066,0.12774685389227952
ParticleNet,D,0SVJ,46.14721727371216,505228.8359375,0.009133923875916865
ParticleNet,D,1SVJ,46.89556884765625,48105.47265625,0.09748489362688643
ParticleNet,D,2SVJ,8.415870904922485,1577.6534118652344,0.533442316393975
ParticleNet,D,3PSVJ,8.415870904922485,1577.6534118652344,0.533442316393975
ParticleNet,D,Inclusive,109.87452793121338,556489.6154174805,0.019744218919302767
WNAE,B,0SVJ,55.208832675833435,110929.00055980682,0.04976952140307788
WNAE,B,1SVJ,140.78816470008542,74616.99937725067,0.18868108591218571
WNAE,B,2SVJ,117.30607846828423,18359.00005054474,0.6389567958239838
WNAE,B,3PSVJ,36.11869269560168,2068.9999856948853,1.7457077305619708
WNAE,B,Inclusive,349.42176853980476,205973.99997329712,0.16964362909158656
WNAE,C,0SVJ,5.0086201429367065,20625.0,0.024284218874844637
WNAE,C,1SVJ,17.156374335289,21037.0,0.08155333144121786
WNAE,C,2SVJ,31.444028854370117,7621.0,0.41259715069374253
WNAE,C,3PSVJ,12.654181838035583,1278.0,0.9901550733987154
WNAE,C,Inclusive,66.26320517063141,50561.0,0.13105596244265622
WNAE,D,0SVJ,5.864989519119263,152796.0,0.003838444408963103
WNAE,D,1SVJ,25.88935136795044,101294.0,0.025558622789060004
WNAE,D,2SVJ,15.896907091140747,24601.0,0.0646189467547691
WNAE,D,3PSVJ,4.701084673404694,2775.0,0.16940845669926824
WNAE,D,Inclusive,52.35233265161514,281466.0,0.018599878014259323
