mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
500,1,5597345.521354675,20927.7021484375,3408.559814453125,96.63948249816895,0.00029999999242136255,24432.901745388786,0.0037388619424324116,0.0006089600510543759,1.7265234409681422e-05,5.359683286958427e-11,0.004365087281493302
500,5,5607573.89919281,14276.59033203125,6851.460205078125,1246.9442443847656,65.12431716918945,22440.11909866333,0.0025459477821748035,0.0012218225436252152,0.00022236786653213054,1.1613635119202595e-05,0.004001751827451352
500,10,5594460.927619934,9946.248046875,7183.0955810546875,1501.3351745605469,84.44986295700073,18715.128665447235,0.0017778742537587903,0.0012839656356507276,0.0002683610081444011,1.5095263699147588e-05,0.0033452961612530667
500,20,5498128.108139038,8143.692138671875,7929.28759765625,2529.7373046875,193.78593063354492,18796.50297164917,0.0014811754070656396,0.0014421794912196201,0.0004601088324847609,3.524580126583046e-05,0.003418709532035851
500,30,,,,,,,,,,,
500,40,,,,,,,,,,,
500,50,,,,,,,,,,,
500,60,,,,,,,,,,,
500,70,,,,,,,,,,,
500,80,,,,,,,,,,,
500,90,,,,,,,,,,,
500,100,,,,,,,,,,,
600,1,2554759.776248932,19979.86767578125,2880.437255859375,166.4448652267456,0.00029999999242136255,23026.750096867363,0.00782064437585479,0.00112747870959853,6.515088689517847e-05,1.1742786746934088e-10,0.009013274089776365
600,5,2555172.738838196,12575.71044921875,6861.65478515625,906.5388946533203,133.27440452575684,20477.178533554077,0.0049216674309607595,0.002685397617491863,0.00035478575709347617,5.2158667200854296e-05,0.008014009472746953
600,10,2548328.56754303,8869.04638671875,6525.59423828125,1246.2735748291016,42.40140805968986,16683.31560788879,0.0034803386422300473,0.0025607350329133185,0.000489055293223313,1.6638909361900362e-05,0.006546767877728579
600,20,2459518.4546279907,7376.2777099609375,6794.8035888671875,2103.2440490722656,409.7358589172363,16684.061206817627,0.0029990739431457612,0.002762656070370865,0.0008551446504150697,0.00016659190263291197,0.006783466566564608
600,30,,,,,,,,,,,
600,40,,,,,,,,,,,
600,50,,,,,,,,,,,
600,60,,,,,,,,,,,
600,70,,,,,,,,,,,
600,80,,,,,,,,,,,
600,90,,,,,,,,,,,
600,100,,,,,,,,,,,
700,1,1282513.4105491638,16386.72705078125,2430.079833984375,182.33069229125977,0.00029999999242136255,18999.137877056877,0.012777041484318328,0.001894779277936619,0.00014216669454800238,2.339156767903928e-10,0.014813987690718627
700,5,1286780.834941864,9909.980224609375,5925.2469482421875,1017.0644683837891,128.04302501678467,16980.334666252136,0.007701373812469861,0.004604705624567284,0.0007903944795927423,9.950647502654916e-05,0.013195980391656438
