mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
500,1,5597345.521354675,10839.83977985382,9840.053395748138,3275.5633804798126,551.9354979991913,24507.392054080963,0.0019366036523023778,0.001757985702009448,0.0005851994249744042,9.860665129452493e-05,0.004378395430580754
500,5,5607573.89919281,4986.590133547783,9359.180395364761,6390.089746534824,1705.9522356987,22441.81251114607,0.0008892598159545583,0.0016690248873424533,0.0011395462389634588,0.00030422287184557044,0.004002053814106041
500,10,5594460.927619934,2933.993960261345,7811.910287499428,5885.808201611041,2096.0738107562065,18727.78626012802,0.0005244462331975856,0.0013963651527052257,0.0010520778101340777,0.0003746694878871814,0.0033475586839240706
500,20,5498128.108139038,2800.800384402275,7344.773057073355,6459.440656304359,2191.4940034151077,18796.508101195097,0.0005094098080865321,0.0013358679377078672,0.0011748436066344584,0.00039858911256923527,0.003418710464998093
500,30,,,,,,,,,,,
500,40,,,,,,,,,,,
500,50,,,,,,,,,,,
500,60,,,,,,,,,,,
500,70,,,,,,,,,,,
500,80,,,,,,,,,,,
500,90,,,,,,,,,,,
500,100,,,,,,,,,,,
600,1,2554759.776248932,10044.046747207642,9370.1906914711,3182.1598386764526,449.08903551101685,23045.48631286621,0.003931503400274674,0.003667738461589933,0.0012455808441405444,0.00017578523025378113,0.009020607936258933
600,5,2555172.738838196,4293.268176347017,9284.244470536709,5041.897999048233,1882.2195773124695,20501.63022324443,0.0016802261980530956,0.003633509519500484,0.001973212191259022,0.0007366310499102658,0.008023578958722867
600,10,2548328.56754303,2861.9513866901398,6150.072616457939,5944.089972376823,1757.745197057724,16713.859172582626,0.0011230700087663692,0.002413375062693556,0.002332544573758719,0.0006897639572248933,0.006558753602443537
600,20,2459518.4546279907,2782.9761716127396,7089.611383259296,4803.1371166706085,2015.4356216788292,16691.160293221474,0.0011315126204384071,0.002882520100598969,0.0019528770388499064,0.0008194431791664152,0.0067863529390536975
600,30,,,,,,,,,,,
600,40,,,,,,,,,,,
600,50,,,,,,,,,,,
600,60,,,,,,,,,,,
600,70,,,,,,,,,,,
600,80,,,,,,,,,,,
600,90,,,,,,,,,,,
600,100,,,,,,,,,,,
700,1,1282513.4105491638,7936.495608210564,7807.660399854183,2995.377278327942,313.7007689476013,19053.23405534029,0.006188235961456503,0.0060877807090617434,0.0023355524033431673,0.0002445984317725588,0.014856167505633972
700,5,1286780.834941864,3455.4774875044823,7520.127665877342,4573.35269856453,1448.1304870843887,16997.088339030743,0.002685365987488148,0.0058441402464756926,0.0035541038336735498,0.0011253901579516565,0.013209000225589046
700,10,1290467.7280902863,1978.492273569107,5669.428471565247,5379.369624376297,1471.4082363843918,14498.698605895042,0.0015331590480739893,0.0043933128649061345,0.0041685425425841685,0.0011402131214562586,0.011235227577020552
700,20,1398491.2246704102,2515.635022163391,6390.574817597866,4707.0705144405365,1401.8434383869171,15015.12379258871,0.001798820741800696,0.004569620963552322,0.0033658205581875403,0.001002397021631149,0.010736659285171707
700,30,,,,,,,,,,,
700,40,,,,,,,,,,,
700,50,,,,,,,,,,,
700,60,,,,,,,,,,,
700,70,,,,,,,,,,,
700,80,,,,,,,,,,,
700,90,,,,,,,,,,,
700,100,,,,,,,,,,,
800,1,828467.6775693893,6966.865242362022,6548.612727880478,2453.4413847327232,308.92610597610474,16277.845460951328,0.008409338627189235,0.007904487893955273,0.002961420766505682,0.00037288854392298276,0.019648135831573172
800,5,828467.5405263901,2844.336372554302,6867.621173381805,4602.311268329621,1301.8284085094929,15616.09722277522,0.003433250228182837,0.008289547673790901,0.005555210123748981,0.0015713692387783107,0.01884937726450103
800,10,828467.4490976334,1576.7873439788818,4761.311932384968,4576.335689067841,1320.4704701900482,12234.905435621738,0.0019032580528013726,0.005747132174681079,0.005523856965113578,0.001593871275966611,0.01476811846856264
