mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
500,0.5,1328261.2261390686,1026.5269665718079,3126.040327847004,2442.261091351509,598.5765368938446,7193.4049226641655,0.0007728351519796082,0.0023534830847495567,0.0018386903444065489,0.0004506466989432196,0.005415655280078934
500,1.0,5498128.108139038,2800.800384402275,7344.773057073355,6459.440656304359,2191.4940034151077,18796.508101195097,0.0005094098080865321,0.0013358679377078672,0.0011748436066344584,0.00039858911256923527,0.003418710464998093
500,1.5,20158032.933502197,12241.746463298798,29071.634860038757,19647.650626182556,6930.668727874756,67891.70067739487,0.0006072887420951322,0.0014421860980156627,0.0009746809468461877,0.00034381671816579586,0.0033679725051227786
500,2.0,56819322.0010376,35496.819021224976,88801.67623901367,63129.165960550316,20215.22531890869,207642.88653969765,0.0006247314781506326,0.001562878139189905,0.0011110510252022629,0.0003557808260813027,0.003654441468624103
500,2.5,122999250.3717041,168033.23568725586,340686.5687880516,182449.13824105263,44066.38494873047,735235.3276650906,0.001366132193321983,0.0027698263831567736,0.001483335367408263,0.00035826547572901236,0.0059775594196160315
500,3.0,246196964.4970703,366179.42196655273,722807.741809845,390102.38797950745,92677.38841629027,1571766.9401721954,0.001487343366375706,0.002935892175951041,0.001584513394697641,0.0003764359508071559,0.006384184887831544
500,3.5,443692632.33154297,740068.7732391357,1442031.6362762451,792846.2041473389,189615.4607810974,3164562.074443817,0.001667976250473616,0.003250068924287901,0.001786926683864554,0.00042735769531419664,0.0071323295539402675
600,0.5,542104.215118885,1233.8041880130768,2760.562346279621,2215.3181533440948,669.6825994364917,6879.367287073284,0.002275953873080474,0.005092309318558281,0.004086517115271404,0.0012353392221634513,0.01269011952907361
600,1.0,2459518.4546279907,2782.9761716127396,7089.611383259296,4803.1371166706085,2015.4356216788292,16691.160293221474,0.0011315126204384071,0.002882520100598969,0.0019528770388499064,0.0008194431791664152,0.0067863529390536975
600,1.5,10070089.762496948,10152.788648605347,25489.197810649872,17913.70374393463,5159.435937523842,58715.12614071369,0.0010082123285947645,0.002531178808909609,0.0017789020918809373,0.0005123525270587582,0.005830645756444069
