mPhi,yukawa,n_events,n_overflow,total_sumw,total_sumw2,direct_source_count,direct_sumw,direct_sumw2,direct_fraction,direct_uncertainty,associated_source_count,associated_sumw,associated_sumw2,associated_fraction,associated_uncertainty,pair_source_count,pair_sumw,pair_sumw2,pair_fraction,pair_uncertainty
600,0.5,198232,0,52104.4375,32981.04296875,99035,6189.6875,386.85546875,0.11879386472601301,0.0005292222955683918,71043,17760.75,4440.1875,0.34086828017287396,0.0013899802332715087,28154,28154.0,28154.0,0.540337855101113,0.0016462818194223736
800,0.5,198900,0,38082.5625,19860.87890625,125057,7816.0625,488.50390625,0.20523993100516805,0.0008805847912744082,58102,14525.5,3631.375,0.38142128697353284,0.0016081438651165834,15741,15741.0,15741.0,0.41333878202129914,0.0020544804334861745
1000,0.5,201512,0,29722.0625,12564.67578125,146717,9169.8125,573.11328125,0.3085187140024351,0.0012658024819797227,45657,11414.25,2853.5625,0.3840329048497223,0.0016872553713063593,9138,9138.0,9138.0,0.3074483811478426,0.0023082418323082062
1500,0.5,207329,0,19312.8125,4234.33203125,181621,11351.3125,709.45703125,0.587760715846022,0.0018942083948446646,23662,5915.5,1478.875,0.30629925082118414,0.0016128005831682766,2046,2046.0,2046.0,0.10594003333279396,0.002109651317844313
2000,0.5,210683,0,15673.25,1970.890625,199396,12462.25,778.890625,0.7951286427511843,0.0017891126435658833,10768,2692.0,673.0,0.17175761249262278,0.0014266163790964956,519,519.0,519.0,0.03311374475619288,0.0014077039884986323
3000,0.5,212775,0,13787.8125,1029.08203125,210421,13151.3125,821.95703125,0.9538360417941569,0.001000239037839806,2290,572.5,143.125,0.0415221776478321,0.0008364741124922535,64,64.0,64.0,0.004641780558010925,0.0005776239936817926
4000,0.5,212684,0,13387.8125,864.01953125,212197,13262.3125,828.89453125,0.9906258023855652,0.0004390020648913904,482,120.5,30.125,0.009000723605891553,0.00040674528220447466,5,5.0,5.0,0.00037347400854321794,0.00016696227754195393
600,1.0,198232,0,198232.0,198232.0,99035,99035.0,99035.0,0.49959138786875984,0.0011230083307551143,71043,71043.0,71043.0,0.3583831066629,0.0010770225060405378,28154,28154.0,28154.0,0.1420255054683401,0.0007840314414527659
800,1.0,198900,0,198900.0,198900.0,125057,125057.0,125057.0,0.6287430869783811,0.001083319335227528,58102,58102.0,58102.0,0.2921166415284062,0.001019627662181162,15741,15741.0,15741.0,0.07914027149321266,0.0006053103734208644
1000,1.0,201512,0,201512.0,201512.0,146717,146717.0,146717.0,0.7280807098336576,0.0009911954838705127,45657,45657.0,45657.0,0.2265721148120211,0.0009325297280003985,9138,9138.0,9138.0,0.04534717535432133,0.00046349749830036055
1500,1.0,207329,0,207329.0,207329.0,181621,181621.0,181621.0,0.8760038393085386,0.0007238141974222803,23662,23662.0,23662.0,0.11412778723671073,0.0006983147440079981,2046,2046.0,2046.0,0.009868373454750662,0.00021708970482588291
2000,1.0,210683,0,210683.0,210683.0,199396,199396.0,199396.0,0.9464266219865864,0.0004905725490145463,10768,10768.0,10768.0,0.0511099614112197,0.0004797842347245286,519,519.0,519.0,0.0024634166021938173,0.00010799871820090292
3000,1.0,212775,0,212775.0,212775.0,210421,210421.0,210421.0,0.9889366701915169,0.00022676022047341603,2290,2290.0,2290.0,0.010762542591939843,0.00022369043715326215,64,64.0,64.0,0.0003007872165432969,3.759274708329112e-05
4000,1.0,212684,0,212684.0,212684.0,212197,212197.0,212197.0,0.9977102179759644,0.0001036410659408253,482,482.0,482.0,0.0022662729683474076,0.00010310886971379176,5,5.0,5.0,2.3509055688251114e-05,1.0513445738381859e-05
600,1.5,198232,0,689365.4375,2925967.91796875,99035,501364.6875,2538158.73046875,0.7272843403902157,0.000910425118632662,71043,159846.75,359655.1875,0.23187520189536628,0.0008584162632706297,28154,28154.0,28154.0,0.04084045771441798,0.00025431091828837595
800,1.5,198900,0,779571.5625,3514956.50390625,125057,633101.0625,3205074.12890625,0.8121141059452127,0.0007228180625397049,58102,130729.5,294141.375,0.16769403386234988,0.0006959290209285027,15741,15741.0,15741.0,0.020191860192437433,0.00016496463485229197
1000,1.5,201512,0,854621.0625,4000472.80078125,146717,742754.8125,3760196.23828125,0.8691042674834614,0.0005802574909268403,45657,102728.25,231138.5625,0.1202032743020536,0.0005652650807623236,9138,9138.0,9138.0,0.010692458214484972,0.00011344601808527744
1500,1.5,207329,0,974741.8125,4776582.45703125,181621,919456.3125,4654747.58203125,0.9432819036887268,0.0003603574113472516,23662,53239.5,119788.875,0.05461907893686463,0.0003567950742244591,2046,2046.0,2046.0,0.002099017374408569,4.654587313036236e-05
2000,1.5,210683,0,1034189.25,5165333.390625,199396,1009442.25,5110301.390625,0.9760711107759049,0.00022750031870741932,10768,24228.0,54513.0,0.023427046838864356,0.00022634210636075498,519,519.0,519.0,0.0005018423852307496,2.2044981792328142e-05
3000,1.5,212775,0,1070472.8125,5404517.20703125,210421,1065256.3125,5392860.08203125,0.9951269196759727,0.00010092395702593603,2290,5152.5,11593.125,0.004813293658497282,0.00010064202466143602,64,64.0,64.0,5.9786665530097246e-05,7.474014252862132e-06
4000,1.5,212684,0,1075336.8125,5440822.14453125,212197,1074247.3125,5438377.01953125,0.9989868290684971,4.598985068825785e-05,482,1084.5,2440.125,0.0010085212255299778,4.594264433721112e-05,5,5.0,5.0,4.649705972936735e-06,2.0794265174434356e-06
600,2.0,198232,0,1896886.0,26517802.0,99035,1584560.0,25352960.0,0.8353480388383909,0.0006456951350499954,71043,284172.0,1136688.0,0.1498097408067749,0.0006218156937139682,28154,28154.0,28154.0,0.014842220354834186,9.599872065920721e-05
800,2.0,198900,0,2249061.0,32959965.0,125057,2000912.0,32014592.0,0.889665509294768,0.00047431898876383507,58102,232408.0,929632.0,0.10333556982225027,0.000464091990786578,15741,15741.0,15741.0,0.006998920882981831,5.8202730388837034e-05
1000,2.0,201512,0,2539238.0,38299202.0,146717,2347472.0,37559552.0,0.9244789184786932,0.00036230670323540254,45657,182628.0,730512.0,0.07192236411080805,0.00035738863680874066,9138,9138.0,9138.0,0.00359871741049874,3.8522324254820316e-05
1500,2.0,207329,0,3002630.0,46875614.0,181621,2905936.0,46494976.0,0.9677968980527071,0.0002118767265483094,23662,94648.0,378592.0,0.03152169931027133,0.00021097604276222327,2046,2046.0,2046.0,0.0006814026370215445,1.5134069949854536e-05
2000,2.0,210683,0,3233927.0,51218183.0,199396,3190336.0,51045376.0,0.98652072232923,0.00013026057555835184,10768,43072.0,172288.0,0.01331879167340512,0.00013001444172185193,519,519.0,519.0,0.00016048599736481374,7.052371238464721e-06
3000,2.0,212775,0,3375960.0,53904480.0,210421,3366736.0,53867776.0,0.9972677401391011,5.69049776580544e-05,2290,9160.0,36640.0,0.0027133022903114965,5.685266338386349e-05,64,64.0,64.0,1.8957570587329235e-05,2.3700100307121048e-06
4000,2.0,212684,0,3397085.0,54330149.0,212197,3395152.0,54322432.0,0.9994309827396135,2.5874118650349938e-05,482,1928.0,7712.0,0.000567545410256146,2.5865639988545944e-05,5,5.0,5.0,1.4718501303323291e-06,6.582381672040053e-07
600,2.5,198232,0,4340727.4375,153918688.66796875,99035,3868554.6875,151115417.48046875,0.8912226679056487,0.0004615952799490487,71043,444018.75,2775117.1875,0.10229132245532752,0.0004501426323379336,28154,28154.0,28154.0,0.006486009639023782,4.264378993790263e-05
800,2.5,198900,0,5263917.5625,193107188.75390625,125057,4885039.0625,190821838.37890625,0.9280234738668555,0.00032666348505521283,58102,363137.5,2269609.375,0.06898616775212843,0.00032214111551633035,15741,15741.0,15741.0,0.002990358381016154,2.504013651465296e-05
1000,2.5,201512,0,6025627.0625,225664990.05078125,146717,5731132.8125,223872375.48828125,0.9511263729159807,0.00024370510003786223,45657,285356.25,1783476.5625,0.047357104420864576,0.0002416755078773382,9138,9138.0,9138.0,0.0015165226631547776,1.628525657333361e-05
